CAHPS01,CAHPS04,CAHPS03,CAHPS02,CAHPS21,CAHPS10,CAHPS05,CAHPS12,CAHPS11,CAHPS22,CAHPS06,CAHPS14,CAHPS07,CAHPS23,CAHPS08,CAHPS09,CAHPS15,CAHPS13,CAHPS20,CAHPS19,CAHPS24,CAHPS18,CAHPS16,CAHPS17,Q100,StartDate 
7,6,3,3,0,5,9,5,4,0,1,3,0,8,5,5,7,0,6,0,4,4,2,7,7,2019-10-21
4,1,1,8,2,8,6,8,8,5,3,8,1,4,8,4,2,7,9,2,9,5,2,4,4,2019-10-25
2,3,9,2,3,3,4,4,9,4,3,9,3,2,6,4,9,0,1,1,1,8,3,5,5,2019-10-02
4,0,7,2,7,2,6,2,9,1,8,8,9,4,2,9,8,5,6,4,4,3,9,7,3,2019-10-19
3,2,1,6,9,2,2,10,5,3,1,4,0,3,1,3,8,1,5,8,6,4,2,4,1,2019-10-22
4,8,4,4,1,7,3,7,8,5,5,6,2,8,7,5,7,1,3,2,9,8,7,2,1,2019-10-11
7,0,3,2,0,0,2,8,9,3,4,3,6,9,2,9,1,7,8,9,9,3,6,9,7,2019-10-24
7,6,0,4,6,2,1,1,9,1,5,2,4,4,2,4,1,2,9,1,1,3,0,6,5,2019-10-15
10,8,10,1,5,2,2,7,2,5,6,6,8,4,4,0,5,8,8,6,2,9,0,5,8,2019-10-29
3,9,5,6,10,2,8,8,8,4,9,10,2,7,6,4,0,8,6,10,9,4,3,9,1,2019-10-02
8,1,7,9,3,1,7,4,1,4,1,8,8,2,5,4,0,0,8,1,8,1,5,1,5,2019-10-07
5,5,6,9,9,3,5,7,2,1,5,7,5,6,7,4,5,8,2,5,0,4,9,9,1,2019-10-09
8,8,5,0,1,8,6,9,6,8,0,0,9,6,1,8,6,6,8,0,3,3,8,2,8,2019-10-12
2,8,10,1,4,3,9,9,1,7,5,1,7,10,4,3,0,8,10,5,7,4,3,9,8,2019-10-14
8,5,8,5,5,8,9,3,1,5,2,4,9,10,5,2,3,7,1,2,6,3,2,0,9,2019-10-19
2,1,2,1,1,4,2,5,4,6,7,5,8,0,3,2,6,2,10,8,6,3,0,9,8,2019-10-14
9,3,1,6,1,1,9,4,6,3,3,4,1,1,5,7,2,1,8,4,9,6,6,10,7,2019-10-12
3,8,9,5,4,6,5,5,7,8,8,9,8,1,3,8,5,6,6,4,6,5,2,10,5,2019-10-13
7,1,6,5,6,8,7,2,3,9,6,0,2,4,4,5,7,7,0,3,1,4,5,8,7,2019-10-08
6,9,3,8,10,9,6,1,7,0,7,8,8,9,1,8,7,7,4,3,0,1,3,5,3,2019-10-25
7,0,4,4,6,2,9,6,0,2,0,1,5,2,6,3,7,5,1,2,8,9,3,7,8,2019-10-01
5,8,2,10,4,5,1,4,4,6,5,3,4,1,2,4,0,5,5,0,10,0,6,1,1,2019-10-01
2,9,6,5,7,5,7,4,3,6,6,2,8,4,10,1,3,3,5,1,1,5,9,7,4,2019-10-19
10,6,7,5,6,6,6,8,1,3,1,2,2,9,5,9,1,10,3,7,5,5,0,6,6,2019-10-15
1,5,2,7,2,8,3,9,6,2,5,7,9,5,9,4,3,10,6,9,9,9,1,5,4,2019-10-23
5,1,2,8,5,6,4,6,3,7,9,6,3,10,4,9,7,5,9,3,0,0,3,4,4,2019-10-12
1,5,1,2,0,2,6,5,6,4,1,7,10,5,1,8,0,7,2,2,3,2,9,10,4,2019-10-15
5,6,6,5,4,1,3,9,8,5,7,7,8,9,8,7,0,3,7,6,9,4,9,8,0,2019-10-24
5,5,8,0,7,6,2,1,4,4,1,8,1,8,9,3,8,4,3,3,3,9,1,6,1,2019-10-26
1,10,4,5,6,7,4,3,1,9,2,10,5,2,8,7,5,9,1,4,0,6,4,1,4,2019-10-08
9,4,10,9,4,1,8,1,7,8,7,2,2,10,4,0,7,9,9,7,5,4,1,6,6,2019-10-27
1,2,7,9,6,7,6,5,1,3,6,1,6,5,6,3,7,1,6,3,9,4,3,9,0,2019-10-29
1,7,5,1,7,8,3,3,6,5,7,6,2,6,4,7,2,0,5,10,6,5,2,1,2,2019-10-18
5,0,0,2,1,5,9,9,10,7,1,1,7,7,7,6,1,10,8,1,3,0,4,9,3,2019-10-20
2,1,1,1,2,6,1,2,0,0,1,9,3,1,8,1,7,3,8,10,3,8,5,1,6,2019-10-23
3,1,3,4,1,3,2,3,8,2,9,3,5,8,7,8,2,2,9,5,7,5,7,9,6,2019-10-04
2,5,1,8,1,6,6,4,6,2,9,3,6,5,2,10,5,7,6,5,7,9,3,10,1,2019-10-20
7,0,8,5,3,8,2,7,5,3,6,6,9,4,7,6,1,2,4,6,9,2,3,8,3,2019-10-22
8,3,6,8,5,2,7,1,1,1,6,2,1,8,2,7,3,2,5,3,3,9,9,2,7,2019-10-19
2,1,7,8,5,8,9,9,2,6,6,4,10,6,4,10,7,2,8,1,7,5,10,8,3,2019-10-05
3,6,3,2,1,7,4,9,4,10,7,7,8,9,1,6,7,8,10,5,6,7,7,10,6,2019-10-20
7,3,9,1,3,6,5,2,10,9,10,6,3,6,1,6,4,4,9,7,1,7,1,10,9,2019-10-12
0,7,4,4,7,1,6,0,4,4,2,5,5,10,3,10,9,4,4,8,3,3,4,1,6,2019-10-12
8,4,4,8,4,8,5,2,0,5,9,0,3,0,9,1,5,9,3,6,2,3,0,10,2,2019-10-19
4,2,10,9,9,10,1,7,1,9,6,4,5,3,9,0,5,9,3,9,6,3,8,4,8,2019-10-27
2,4,5,1,4,9,3,0,1,2,1,4,5,6,7,8,3,2,2,6,6,8,7,2,4,2019-10-24
8,0,9,1,1,1,9,5,3,5,9,2,4,4,9,3,3,5,5,5,4,7,4,4,9,2019-10-22
1,1,1,6,4,0,5,0,5,10,1,1,8,4,5,8,9,1,5,10,1,2,1,5,3,2019-10-25
1,1,2,3,5,10,0,9,4,8,2,9,4,8,4,4,6,2,7,6,1,1,0,1,5,2019-10-27
8,3,10,4,9,7,9,4,7,2,10,7,1,1,3,2,9,9,7,2,5,1,1,1,2,2019-10-18
1,9,5,5,1,9,0,3,4,2,4,10,10,10,3,2,7,8,1,2,9,7,6,4,2,2019-10-11
3,3,9,9,2,7,9,4,5,5,9,2,6,1,8,0,5,7,5,8,6,3,1,4,6,2019-10-29
9,9,7,9,5,4,3,7,9,10,8,3,7,10,1,2,7,3,3,0,8,1,7,6,2,2019-10-12
4,7,4,2,9,7,7,5,9,9,8,8,4,2,3,9,0,5,7,6,8,5,2,7,5,2019-10-19
3,4,7,2,0,5,3,8,8,7,5,8,6,3,9,9,6,9,7,1,2,5,0,3,3,2019-10-14
2,4,6,7,3,9,2,2,9,3,4,1,7,4,7,2,4,1,6,1,5,2,4,5,5,2019-10-24
6,10,3,3,6,4,2,5,7,8,4,1,6,8,1,4,7,1,5,2,1,2,10,4,3,2019-10-19
4,9,7,7,0,4,3,5,2,1,4,6,2,1,4,8,9,6,1,1,4,9,4,8,6,2019-10-16
1,7,7,2,3,1,6,5,4,8,6,2,5,5,5,9,3,10,0,5,6,9,9,2,2,2019-10-14
8,9,4,5,3,5,1,0,3,2,9,8,3,6,7,6,6,7,2,5,7,5,3,0,9,2019-10-16
3,1,0,6,3,0,8,6,10,9,7,1,8,1,6,9,0,9,9,6,6,7,4,2,7,2019-10-17
4,1,1,8,7,5,2,5,0,7,7,8,7,3,7,0,9,9,2,9,2,3,6,1,8,2019-10-26
2,9,5,7,1,1,8,9,8,0,6,7,3,2,5,2,7,8,3,5,3,1,0,2,10,2019-10-24
3,7,9,3,0,5,8,2,4,5,7,5,1,5,1,4,0,6,5,5,3,5,10,2,2,2019-10-28
5,1,8,0,6,2,3,7,3,2,2,6,10,7,7,2,10,2,4,4,3,4,8,7,8,2019-10-22
9,8,4,6,7,7,6,3,1,7,3,10,3,8,1,1,5,3,7,6,1,9,9,2,6,2019-10-27
9,7,1,4,4,0,1,2,1,5,2,8,6,8,5,6,4,7,10,5,2,9,6,9,8,2019-10-16
3,1,0,5,8,2,9,2,3,3,5,3,3,4,7,7,10,7,10,2,7,3,7,9,6,2019-10-21
4,5,7,7,2,8,3,8,6,4,3,6,4,3,6,5,5,7,0,5,1,1,3,0,6,2019-10-09
8,8,10,8,7,6,2,1,1,4,10,10,3,8,3,6,2,8,1,7,1,4,3,7,6,2019-10-20
5,2,9,0,0,0,6,4,5,10,3,9,2,2,6,6,2,9,4,5,8,0,10,2,4,2019-10-19
7,9,4,3,4,5,1,0,5,1,5,9,5,6,3,6,8,3,9,7,5,10,5,6,1,2019-10-20
3,8,7,9,1,6,5,4,8,8,6,8,5,5,4,7,7,3,3,9,7,8,7,9,4,2019-10-29
4,10,4,1,9,8,1,6,1,3,0,10,8,5,9,9,4,10,4,9,2,8,4,5,8,2019-10-18
3,1,3,10,9,5,2,6,7,0,10,0,7,5,8,7,9,10,7,3,5,6,4,4,8,2019-10-14
3,4,7,5,1,10,8,7,8,8,6,5,8,3,7,6,1,3,5,9,9,6,4,2,1,2019-10-05
6,1,3,0,1,9,9,2,5,9,10,4,4,1,7,4,5,6,10,1,1,2,3,4,6,2019-10-16
9,5,8,2,5,7,4,10,5,7,9,8,9,8,1,9,4,7,10,4,1,5,3,9,4,2019-10-25
0,7,6,4,8,6,4,5,7,8,5,1,7,10,3,8,8,10,6,3,6,5,2,3,9,2019-10-23
5,6,2,2,3,6,3,3,7,9,9,6,4,5,4,2,7,8,8,5,6,4,9,7,7,2019-10-15
4,2,1,8,1,8,2,3,5,6,4,9,5,8,9,4,0,1,6,3,4,4,1,0,4,2019-10-28
2,1,1,6,7,5,7,3,4,4,5,2,2,1,7,0,4,4,8,7,7,2,7,6,7,2019-10-14
3,3,7,2,9,0,0,3,8,3,9,1,5,8,5,4,5,7,7,2,6,3,5,3,5,2019-10-25
9,10,3,1,5,6,3,1,2,2,1,3,3,10,8,2,9,4,5,7,6,5,8,4,10,2019-10-08
9,10,5,7,3,1,2,3,2,8,7,5,5,0,1,6,1,2,0,4,6,6,10,7,8,2019-10-08
9,1,1,10,3,8,4,3,2,7,4,5,8,6,9,3,8,8,3,9,7,4,6,3,6,2019-10-24
8,5,7,9,0,5,5,8,6,1,3,5,7,3,8,9,5,5,3,3,3,8,4,10,0,2019-10-07
8,9,1,6,0,7,9,2,5,9,0,2,3,2,1,10,9,2,6,5,3,8,4,6,7,2019-10-13
3,7,6,1,6,7,8,1,4,7,3,3,4,5,7,4,4,1,1,1,3,4,8,10,9,2019-10-01
7,9,3,9,4,4,2,8,5,4,4,4,5,4,2,6,5,3,9,2,7,7,8,5,1,2019-10-05
2,1,2,9,7,7,4,5,2,5,9,0,8,8,5,7,5,4,2,0,1,3,0,1,6,2019-10-06
10,1,6,9,7,4,1,5,4,8,0,10,7,1,0,6,7,7,6,8,8,4,3,3,7,2019-10-02
9,1,6,8,2,1,9,1,5,9,9,6,7,2,7,3,3,8,7,4,6,10,7,0,6,2019-10-11
5,10,8,5,9,6,10,7,7,3,4,5,5,8,6,9,3,6,9,6,1,4,2,2,3,2019-10-27
7,1,6,7,2,7,0,4,6,6,1,1,3,5,6,4,7,1,0,9,7,9,1,5,4,2019-10-09
2,9,4,4,7,6,1,1,6,8,6,7,4,4,8,9,6,9,6,7,1,10,10,9,5,2019-10-20
0,4,4,0,7,5,0,8,2,0,0,3,9,7,0,3,9,0,10,10,5,9,7,6,1,2019-10-22
7,6,2,7,9,4,3,7,4,8,6,2,6,9,1,3,6,2,7,2,6,2,2,8,6,2019-10-04
2,8,3,0,6,5,3,8,3,7,4,9,2,5,2,0,1,1,8,9,0,2,3,2,5,2019-10-20
8,3,9,4,1,8,4,10,2,3,8,5,8,0,7,8,6,3,2,2,8,2,2,6,4,2019-10-05
2,10,10,0,3,3,6,5,3,2,7,5,2,8,10,8,3,0,4,9,9,5,9,10,3,2019-10-02
3,10,7,1,0,6,1,7,2,3,4,8,3,2,7,8,4,4,4,9,2,0,7,1,4,2019-10-02
10,8,9,10,7,2,5,6,1,4,8,9,9,2,8,10,4,10,5,4,4,9,7,0,9,2019-10-15
1,2,8,10,4,10,6,9,3,4,1,8,1,7,6,1,0,6,10,6,9,7,10,7,0,2019-10-06
8,3,3,2,3,7,0,4,1,1,1,0,6,2,7,4,4,0,1,10,3,8,7,6,1,2019-10-05
7,3,1,9,6,9,8,8,10,2,4,2,8,1,6,0,7,5,2,4,1,3,10,7,3,2019-10-25
1,8,2,1,4,1,6,3,5,1,0,9,5,8,6,7,3,6,9,10,3,3,3,0,1,2019-10-04
0,4,7,10,2,4,6,9,8,6,3,6,3,1,5,3,9,2,1,5,10,7,0,8,5,2019-10-05
8,7,2,8,8,1,8,1,1,5,5,7,1,2,3,9,5,8,7,6,4,8,6,4,5,2019-10-07
5,3,7,4,4,6,4,4,3,5,2,2,5,1,3,2,2,6,1,3,2,0,1,4,8,2019-10-25
8,1,2,3,6,0,5,6,6,6,3,4,1,9,9,5,4,0,1,9,3,3,8,5,1,2019-10-15
10,7,9,8,5,4,4,1,8,2,2,9,1,1,3,6,0,6,7,8,6,4,3,3,6,2019-10-24
3,6,2,3,1,8,3,4,6,6,0,2,4,0,1,6,5,9,7,3,3,9,2,10,8,2019-10-08
5,2,8,3,8,1,3,5,4,2,8,2,3,4,1,1,10,9,10,9,4,5,6,9,1,2019-10-22
8,2,8,4,2,6,7,6,8,2,8,9,4,9,8,3,9,8,10,1,5,9,7,4,7,2019-10-04
9,5,8,2,1,3,2,4,9,3,9,9,8,6,2,5,3,5,1,2,8,2,2,1,6,2019-10-14
2,10,5,1,9,9,9,6,3,8,5,3,5,6,1,2,0,8,5,4,6,1,8,1,1,2019-10-13
6,8,0,6,8,7,6,6,7,8,5,4,8,8,5,0,3,3,6,5,1,6,2,10,6,2019-10-03
9,8,2,8,2,9,4,2,3,8,2,9,4,8,7,8,4,2,6,4,6,6,8,7,7,2019-10-09
7,2,2,1,10,5,10,3,7,8,4,5,5,4,7,6,3,7,5,5,2,5,2,1,3,2019-10-20
7,5,4,9,4,7,4,1,1,0,8,9,8,3,8,10,3,1,6,5,2,5,2,5,6,2019-10-06
6,10,5,6,5,1,3,2,1,2,9,8,0,2,4,3,5,6,3,8,1,1,7,5,2,2019-10-15
8,6,1,3,9,3,2,2,4,4,6,0,9,3,1,3,2,8,5,6,10,6,5,2,9,2019-10-27
6,6,5,5,3,7,5,7,3,6,5,3,10,4,7,2,0,9,6,2,3,8,2,5,7,2019-10-01
10,1,7,9,8,6,8,4,6,7,10,6,5,9,3,5,5,6,9,5,8,7,4,5,7,2019-10-05
7,5,5,9,3,4,0,9,8,7,9,3,2,8,6,1,7,10,6,9,8,1,5,9,10,2019-10-14
10,8,6,5,2,4,7,8,7,7,5,0,4,3,9,7,3,7,0,3,5,4,9,2,7,2019-10-10
7,1,8,9,9,6,9,4,1,7,8,5,8,8,2,9,10,1,6,1,9,2,7,2,8,2019-10-19
9,1,7,3,6,9,9,1,6,8,0,4,6,6,0,8,7,2,9,2,1,9,0,7,6,2019-10-05
3,7,1,7,2,2,5,8,7,8,3,8,5,2,9,0,8,5,9,4,10,2,7,2,4,2019-10-27
6,4,8,8,0,1,5,4,6,8,8,2,3,7,7,5,3,9,7,2,9,9,9,8,2,2019-10-13
3,4,5,8,1,1,8,2,2,2,1,8,2,2,6,8,5,9,2,4,8,8,9,8,10,2019-10-15
3,8,9,2,10,3,4,5,10,1,8,3,9,7,6,5,0,4,7,1,10,8,3,3,2,2019-10-29
2,2,9,8,10,8,7,3,6,9,2,1,8,9,2,4,10,5,6,6,5,10,8,4,3,2019-10-28
3,5,8,8,7,2,7,1,6,3,8,4,6,8,1,8,3,8,7,5,9,9,0,5,7,2019-10-07
0,6,7,5,10,5,8,2,2,5,5,8,10,1,7,9,3,7,2,6,7,8,9,9,1,2019-10-15
4,7,2,0,0,10,9,5,9,9,3,4,5,7,2,2,8,8,6,9,5,0,6,6,4,2019-10-17
2,8,10,7,1,7,7,9,6,1,1,7,8,9,10,5,3,7,4,0,0,2,8,7,0,2019-10-15
7,1,8,5,2,1,9,7,8,10,7,10,9,3,4,6,3,3,4,1,2,2,6,6,9,2019-10-18
5,7,3,3,4,4,6,8,10,5,10,7,5,2,3,1,8,6,0,5,3,5,8,5,5,2019-10-23
8,10,4,2,8,1,5,6,8,2,9,7,8,7,5,8,3,3,1,1,8,9,2,8,4,2019-10-01
5,7,1,9,4,3,3,0,5,3,4,8,1,5,3,9,3,2,8,6,10,6,4,2,2,2019-10-24
4,6,3,10,6,4,1,2,2,7,7,10,7,8,10,7,8,6,8,5,6,6,4,10,7,2019-10-16
7,8,8,10,5,8,8,5,2,3,4,4,8,1,2,9,8,1,0,3,10,3,1,7,8,2019-10-01
6,6,7,3,2,10,7,6,2,8,9,3,0,6,8,1,6,6,2,6,9,7,0,6,3,2019-10-19
